周波数 (Hz)	レベル (dB)
43.066406	-59.769276
86.132813	-54.650654
129.199219	-55.635998
172.265625	-59.237247
215.332031	-60.825054
258.398438	-61.376434
301.464844	-62.249714
344.531250	-61.204788
387.597656	-60.399002
430.664063	-60.602146
473.730469	-59.566647
516.796875	-57.167751
559.863281	-55.933559
602.929688	-55.311012
645.996094	-53.661282
689.062500	-51.908852
732.128906	-49.918221
775.195313	-49.254391
818.261719	-49.935883
861.328125	-51.723591
904.394531	-52.777767
947.460938	-54.435970
990.527344	-57.365261
1033.593750	-59.054382
1076.660156	-59.465733
1119.726563	-59.381626
1162.792969	-58.540421
1205.859375	-59.618210
1248.925781	-60.653854
1291.992188	-59.791451
1335.058594	-59.985252
1378.125000	-60.738064
1421.191406	-59.591232
1464.257813	-57.908016
1507.324219	-59.571281
1550.390625	-60.695316
1593.457031	-63.436924
1636.523438	-65.830803
1679.589844	-67.303062
1722.656250	-65.980133
1765.722656	-65.969734
1808.789063	-66.711342
1851.855469	-67.335777
1894.921875	-69.046158
1937.988281	-70.291542
1981.054688	-68.476929
2024.121094	-67.787498
2067.187500	-66.254539
2110.253906	-65.119179
2153.320313	-65.766510
2196.386719	-67.249886
2239.453125	-67.380295
2282.519531	-68.043602
2325.585938	-68.175407
2368.652344	-68.051247
2411.718750	-67.377007
2454.785156	-66.010262
2497.851563	-66.169724
2540.917969	-65.395950
2583.984375	-64.968140
2627.050781	-64.654160
2670.117188	-64.858765
2713.183594	-64.802025
2756.250000	-65.860008
2799.316406	-67.344337
2842.382813	-67.997467
2885.449219	-69.014496
2928.515625	-69.353302
2971.582031	-69.492477
3014.648438	-70.008133
3057.714844	-70.812386
3100.781250	-71.465591
3143.847656	-70.823677
3186.914063	-70.654106
3229.980469	-72.230682
3273.046875	-73.232117
3316.113281	-73.966492
3359.179688	-74.592018
3402.246094	-74.656319
3445.312500	-73.612061
3488.378906	-73.042091
3531.445313	-73.131409
3574.511719	-72.436592
3617.578125	-71.146225
3660.644531	-70.527969
3703.710938	-71.130112
3746.777344	-71.226158
3789.843750	-71.137077
3832.910156	-71.872536
3875.976563	-71.508820
3919.042969	-71.609871
3962.109375	-70.444252
4005.175781	-70.256065
4048.242188	-71.402702
4091.308594	-74.004440
4134.375000	-77.002647
4177.441406	-77.825348
4220.507813	-77.708115
4263.574219	-77.263977
4306.640625	-76.501022
4349.707031	-75.367462
4392.773438	-74.755829
4435.839844	-75.100136
4478.906250	-74.725014
4521.972656	-74.849709
4565.039063	-73.695374
4608.105469	-73.027603
4651.171875	-72.406898
4694.238281	-71.658493
4737.304688	-71.931664
4780.371094	-72.763145
4823.437500	-73.019218
4866.503906	-70.885002
4909.570313	-68.964401
4952.636719	-69.836250
4995.703125	-71.251488
5038.769531	-70.163795
5081.835938	-69.977798
5124.902344	-69.312149
5167.968750	-67.934151
5211.035156	-67.764946
5254.101563	-68.490295
5297.167969	-69.383980
5340.234375	-70.483810
5383.300781	-70.446342
5426.367188	-70.187607
5469.433594	-70.589577
5512.500000	-70.330124
5555.566406	-69.914536
5598.632813	-68.874603
5641.699219	-68.686821
5684.765625	-68.398338
5727.832031	-68.103439
5770.898438	-68.939369
5813.964844	-69.219109
5857.031250	-69.563530
5900.097656	-69.828476
5943.164063	-69.614342
5986.230469	-69.475418
6029.296875	-68.888329
6072.363281	-69.346947
6115.429688	-70.205971
6158.496094	-71.570534
6201.562500	-71.802246
6244.628906	-71.626511
6287.695313	-71.033661
6330.761719	-69.744179
6373.828125	-67.692215
6416.894531	-67.468216
6459.960938	-68.016991
6503.027344	-67.466331
6546.093750	-68.533592
6589.160156	-70.166794
6632.226563	-70.718979
6675.292969	-69.470245
6718.359375	-68.911362
6761.425781	-69.533218
6804.492188	-69.658524
6847.558594	-70.325317
6890.625000	-71.448265
6933.691406	-71.225540
6976.757813	-72.164673
7019.824219	-71.957504
7062.890625	-69.924339
7105.957031	-69.684990
7149.023438	-69.996216
7192.089844	-69.246010
7235.156250	-69.278664
7278.222656	-69.467781
7321.289063	-70.169418
7364.355469	-70.211746
7407.421875	-69.692017
7450.488281	-70.007957
7493.554688	-69.587135
7536.621094	-69.726524
7579.687500	-70.408264
7622.753906	-72.584053
7665.820313	-73.499123
7708.886719	-73.651581
7751.953125	-73.112823
7795.019531	-72.489105
7838.085938	-71.639343
7881.152344	-71.767189
7924.218750	-71.174179
7967.285156	-70.532692
8010.351563	-70.802666
8053.417969	-70.492371
8096.484375	-68.043671
8139.550781	-68.453690
8182.617188	-68.633850
