周波数 (Hz)	レベル (dB)
43.066406	-60.610828
86.132813	-62.931564
129.199219	-61.337307
172.265625	-60.255928
215.332031	-58.513981
258.398438	-56.629147
301.464844	-55.693909
344.531250	-54.985062
387.597656	-53.572525
430.664063	-53.223919
473.730469	-53.684715
516.796875	-54.186436
559.863281	-55.557476
602.929688	-58.181084
645.996094	-59.287643
689.062500	-58.952175
732.128906	-57.779140
775.195313	-58.070347
818.261719	-58.804817
861.328125	-59.481178
904.394531	-58.892437
947.460938	-58.766087
990.527344	-58.578896
1033.593750	-58.705715
1076.660156	-58.153553
1119.726563	-57.684673
1162.792969	-56.559025
1205.859375	-54.601875
1248.925781	-53.894680
1291.992188	-54.500286
1335.058594	-56.491657
1378.125000	-60.171764
1421.191406	-65.009743
1464.257813	-70.323654
1507.324219	-75.683037
1550.390625	-77.791092
1593.457031	-76.500870
1636.523438	-75.075523
1679.589844	-73.197517
1722.656250	-70.738892
1765.722656	-69.377213
1808.789063	-66.663063
1851.855469	-63.496014
1894.921875	-60.296360
1937.988281	-56.346092
1981.054688	-52.572174
2024.121094	-52.437405
2067.187500	-55.312443
2110.253906	-58.114471
2153.320313	-60.606770
2196.386719	-63.467556
2239.453125	-64.931732
2282.519531	-66.054329
2325.585938	-67.472099
2368.652344	-68.695663
2411.718750	-69.612190
2454.785156	-70.557137
2497.851563	-70.357323
2540.917969	-68.887718
2583.984375	-68.202065
2627.050781	-68.173004
2670.117188	-69.552010
2713.183594	-70.098190
2756.250000	-71.080093
2799.316406	-72.544983
2842.382813	-74.491158
2885.449219	-77.494141
2928.515625	-79.651009
2971.582031	-81.300179
3014.648438	-81.709496
3057.714844	-83.783882
3100.781250	-85.363014
3143.847656	-86.486359
3186.914063	-86.988609
3229.980469	-87.425972
3273.046875	-87.868774
3316.113281	-88.107742
3359.179688	-88.347069
3402.246094	-87.522934
3445.312500	-87.964424
3488.378906	-87.772102
3531.445313	-87.674393
3574.511719	-87.216446
3617.578125	-86.876907
3660.644531	-87.018326
3703.710938	-87.066833
3746.777344	-87.497704
3789.843750	-87.384766
3832.910156	-88.200912
3875.976563	-88.425774
3919.042969	-89.440704
3962.109375	-89.891708
4005.175781	-89.724922
4048.242188	-89.407684
4091.308594	-88.985664
4134.375000	-88.502472
4177.441406	-86.937790
4220.507813	-86.106155
4263.574219	-86.456787
4306.640625	-87.597298
4349.707031	-88.797905
4392.773438	-89.280472
4435.839844	-89.652519
4478.906250	-89.980423
4521.972656	-90.250320
4565.039063	-90.430054
4608.105469	-90.300011
4651.171875	-90.499237
4694.238281	-90.505058
4737.304688	-90.657730
4780.371094	-90.633080
4823.437500	-90.513847
4866.503906	-90.574768
4909.570313	-90.354103
4952.636719	-90.632576
4995.703125	-90.687347
5038.769531	-90.814140
5081.835938	-90.641617
5124.902344	-90.997864
5167.968750	-91.175415
5211.035156	-90.984856
5254.101563	-91.026985
5297.167969	-90.530289
5340.234375	-90.728294
5383.300781	-90.864532
5426.367188	-90.767395
5469.433594	-90.160759
5512.500000	-89.875870
5555.566406	-89.900917
5598.632813	-89.985725
5641.699219	-90.724602
5684.765625	-91.072578
5727.832031	-90.946320
5770.898438	-90.747093
5813.964844	-90.638977
5857.031250	-90.303085
5900.097656	-90.099464
5943.164063	-89.738083
5986.230469	-89.061562
6029.296875	-88.464119
6072.363281	-88.440773
6115.429688	-88.561844
6158.496094	-89.247162
6201.562500	-89.102371
6244.628906	-89.681862
6287.695313	-90.212059
